cittadinanza,genere,comune_pdf,provenienza,classe_eta,eta,conta
Albania,M,Cuneo,Euro-est,Giovane,23,812
Savigliano,F,Cuneo,Italia,Giovane,21,812
Cuneo,M,Cuneo,Italia,Giovane,19,812
Pakistan,M,Cuneo,India,Giovane,24,812
Albania,M,Cuneo,Euro-est,Anziano,58,812
Albania,M,Cuneo,Euro-est,Giovane,27,812
Camerun,M,Cuneo,Sub-shara,Giovane,30,812
Nigeria,M,Cuneo,Sub-shara,Giovane,29,812
Brasile,F,Cuneo,Americhe,Anziano,65,812
Algeria,M,Cuneo,Africa,Anziano,53,812
Mazara del vallo,F,Cuneo,Italia,Giovane adulto,35,812
Cuneo,M,Cuneo,Italia,Giovane adulto,34,812
Romania,M,Cuneo,Euro-est,Anziano,65,812
Ghana,F,Cuneo,Sub-shara,Adulto,45,812
Egitto,M,Cuneo,Africa,Giovane adulto,34,812
Cuneo,M,Cuneo,Italia,Giovane,20,812
Cuneo,M,Cuneo,Italia,Giovane adulto,40,812
Romania,M,Cuneo,Euro-est,Anziano,64,812
Cuneo,M,Cuneo,Italia,Giovane,22,812
Filippine,M,Cuneo,India,Anziano,52,812
Cuneo,M,Cuneo,Italia,Giovane,23,812
Cuneo,M,Cuneo,Italia,Anziano,61,812
Cuneo,M,Cuneo,Italia,Giovane,17,812
Cuneo,M,Cuneo,Italia,Giovane,19,812
Cuneo,M,Cuneo,Italia,Giovane,20,812
Sierra leone,M,Cuneo,Sub-shara,Adulto,44,812
Pakistan,M,Cuneo,India,Adulto,44,812
Cuneo,M,Cuneo,Italia,Giovane adulto,34,812
Senegal,M,Cuneo,Sub-shara,Giovane adulto,35,812
Senegal,M,Cuneo,Sub-shara,Anziano,60,812
Senegal,M,Cuneo,Sub-shara,Giovane,28,812
Senegal,M,Cuneo,Sub-shara,Giovane adulto,31,812
Cuneo,F,Cuneo,Italia,Giovane,20,812
Filippine,M,Cuneo,India,Giovane adulto,33,812
Petilia policastro,M,Cuneo,Italia,Anziano,68,812
Senegal,M,Cuneo,Sub-shara,Giovane adulto,33,812
Bangladesh,M,Cuneo,India,Giovane,28,812
Bangladesh,M,Cuneo,India,Giovane,30,812
Romania,F,Cuneo,Euro-est,Anziano,61,812
Cuneo,M,Cuneo,Italia,Giovane,24,812
Congo repubblica democratica,M,Cuneo,Sub-shara,Anziano,56,812
Cuneo,F,Cuneo,Italia,Adulto,44,812
Cuneo,F,Cuneo,Italia,Adulto,45,812
Romania,M,Cuneo,Euro-est,Anziano,51,812
Cuneo,M,Cuneo,Italia,Giovane,24,812
Romania,M,Cuneo,Euro-est,Anziano,62,812
Cuneo,M,Cuneo,Italia,Anziano,60,812
Cuneo,M,Cuneo,Italia,Anziano,70,812
Cuneo,F,Cuneo,Italia,Anziano,71,812
Cuneo,M,Cuneo,Italia,Adulto,46,812
Senegal,M,Cuneo,Sub-shara,Giovane,26,812
Cuneo,M,Cuneo,Italia,Anziano,66,812
Cuneo,F,Cuneo,Italia,Adulto,42,812
Filippine,M,Cuneo,India,Giovane,21,812
India,F,Cuneo,India,Giovane,29,812
Cuneo,M,Cuneo,Italia,Anziano,51,812
Cuneo,F,Cuneo,Italia,Giovane,22,812
Mali,M,Cuneo,Africa,Giovane,30,812
Cuneo,M,Cuneo,Italia,Anziano,67,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane adulto,38,812
Cuneo,M,Cuneo,Italia,Anziano,63,812
Senegal,F,Cuneo,Sub-shara,Adulto,46,812
Cuneo,M,Cuneo,Italia,Anziano,61,812
Marocco,M,Cuneo,Africa,Adulto,43,812
Romania,M,Cuneo,Euro-est,Anziano,51,812
Romania,M,Cuneo,Euro-est,Giovane,22,812
Cuneo,F,Cuneo,Italia,Giovane,19,812
Gambia,M,Cuneo,Sub-shara,Giovane,25,812
Filippine,M,Cuneo,India,Anziano,59,812
Filippine,M,Cuneo,India,Adulto,43,812
Marocco,F,Cuneo,Africa,Anziano,51,812
Roma,F,Cuneo,Italia,Giovane,25,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane adulto,37,812
Costa d'avorio,F,Cuneo,Sub-shara,Giovane,22,812
Costa d'avorio,F,Cuneo,Sub-shara,Adulto,50,812
Romania,M,Cuneo,Euro-est,Adulto,49,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane adulto,34,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane,20,812
Mauritania,M,Cuneo,Africa,Adulto,44,812
Gambia,M,Cuneo,Sub-shara,Giovane,25,812
Senegal,M,Cuneo,Sub-shara,Giovane,25,812
Mali,M,Cuneo,Africa,Giovane adulto,38,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane,30,812
Caraglio,F,Cuneo,Italia,Anziano,56,812
Marocco,M,Cuneo,Africa,Adulto,47,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane,22,812
Guinea,M,Cuneo,Sub-shara,Giovane,25,812
Costa d'avorio,M,Cuneo,Sub-shara,Anziano,56,812
Costa d'avorio,M,Cuneo,Sub-shara,Adulto,41,812
Kenya,M,Cuneo,Sub-shara,Giovane adulto,39,812
India,M,Cuneo,India,Giovane adulto,39,812
Afghanistan,M,Cuneo,India,Giovane,29,812
India,M,Cuneo,India,Giovane,30,812
Algeria,M,Cuneo,Africa,Adulto,50,812
Mali,M,Cuneo,Africa,Anziano,55,812
India,M,Cuneo,India,Adulto,43,812
Gambia,M,Cuneo,Sub-shara,Giovane,28,812
Senegal,M,Cuneo,Sub-shara,Giovane,30,812
Gambia,M,Cuneo,Sub-shara,Giovane,27,812
Sierra leone,M,Cuneo,Sub-shara,Anziano,62,812
Romania,M,Cuneo,Euro-est,Adulto,46,812
Nigeria,F,Cuneo,Sub-shara,Giovane,29,812
Ghana,M,Cuneo,Sub-shara,Anziano,54,812
India,F,Cuneo,India,Adulto,44,812
Nigeria,F,Cuneo,Sub-shara,Giovane,28,812
India,M,Cuneo,India,Adulto,43,812
Gambia,M,Cuneo,Sub-shara,Giovane,25,812
Gambia,M,Cuneo,Sub-shara,Giovane adulto,36,812
Marocco,M,Cuneo,Africa,Adulto,48,812
Romania,M,Cuneo,Euro-est,Adulto,46,812
Cuneo,M,Cuneo,Italia,Giovane adulto,37,812
Costa d'avorio,M,Cuneo,Sub-shara,Adulto,46,812
Romania,M,Cuneo,Euro-est,Anziano,62,812
Nigeria,F,Cuneo,Sub-shara,Giovane adulto,32,812
Nigeria,M,Cuneo,Sub-shara,Giovane,20,812
Nigeria,F,Cuneo,Sub-shara,Giovane adulto,36,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,32,812
Nigeria,F,Cuneo,Sub-shara,Adulto,46,812
Bangladesh,M,Cuneo,India,Giovane,27,812
Marocco,M,Cuneo,Africa,Anziano,53,812
Bangladesh,M,Cuneo,India,Giovane adulto,34,812
Bangladesh,M,Cuneo,India,Giovane adulto,33,812
Bangladesh,M,Cuneo,India,Adulto,46,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,38,812
Cuneo,M,Cuneo,Italia,Giovane,20,812
Bangladesh,M,Cuneo,India,Giovane adulto,37,812
Bangladesh,M,Cuneo,India,Giovane adulto,34,812
Bangladesh,M,Cuneo,India,Giovane,26,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,32,812
Albania,M,Cuneo,Euro-est,Giovane adulto,37,812
Pakistan,M,Cuneo,India,Giovane,25,812
Pakistan,M,Cuneo,India,Giovane adulto,32,812
Romania,M,Cuneo,Euro-est,Anziano,51,812
India,M,Cuneo,India,Giovane,24,812
Tunisia,M,Cuneo,Africa,Giovane,29,812
Marocco,M,Cuneo,Africa,Adulto,42,812
Albania,M,Cuneo,Euro-est,Adulto,50,812
Marocco,F,Cuneo,Africa,Anziano,61,812
Cuneo,M,Cuneo,Italia,Anziano,72,812
Romania,F,Cuneo,Euro-est,Giovane,22,812
Burkina faso,F,Cuneo,Sub-shara,Adulto,42,812
Bangladesh,M,Cuneo,India,Giovane adulto,32,812
Gabon,M,Cuneo,Sub-shara,Giovane,27,812
Romania,M,Cuneo,Euro-est,Giovane,17,812
Cuneo,F,Cuneo,Italia,Giovane,26,812
Cuneo,M,Cuneo,Italia,Adulto,50,812
Nigeria,M,Cuneo,Sub-shara,Anziano,52,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,31,812
Cuneo,F,Cuneo,Italia,Giovane,21,812
Romania,M,Cuneo,Euro-est,Adulto,43,812
India,M,Cuneo,India,Giovane adulto,32,812
Romania,M,Cuneo,Euro-est,Giovane,27,812
Congo repubblica democratica,M,Cuneo,Sub-shara,Anziano,65,812
India,M,Cuneo,India,Giovane,25,812
Repubblica popolare cinese,M,Cuneo,India,Anziano,61,812
Romania,M,Cuneo,Euro-est,Anziano,58,812
Bangladesh,M,Cuneo,India,Giovane,25,812
Cuneo,M,Cuneo,Italia,Giovane adulto,35,812
Cuneo,M,Cuneo,Italia,Giovane,19,812
Nigeria,F,Cuneo,Sub-shara,Adulto,45,812
Egitto,M,Cuneo,Africa,Giovane,21,812
Tunisia,M,Cuneo,Africa,Giovane,22,812
Bangladesh,M,Cuneo,India,Giovane adulto,31,812
Cuneo,M,Cuneo,Italia,Giovane adulto,31,812
Gambia,M,Cuneo,Sub-shara,Giovane adulto,39,812
Albania,M,Cuneo,Euro-est,Giovane adulto,37,812
Bangladesh,M,Cuneo,India,Anziano,57,812
Cuneo,M,Cuneo,Italia,Giovane,28,812
Cuneo,M,Cuneo,Italia,Anziano,54,812
Cuneo,M,Cuneo,Italia,Giovane,21,812
Romania,M,Cuneo,Euro-est,Giovane,20,812
Senegal,M,Cuneo,Sub-shara,Giovane,26,812
Busca,M,Cuneo,Italia,Anziano,62,812
Cuneo,M,Cuneo,Italia,Anziano,73,812
Torino,F,Cuneo,Italia,Adulto,44,812
Cuneo,F,Cuneo,Italia,Giovane,21,812
Centro africana,F,Cuneo,Sub-shara,Giovane,22,812
Cuneo,M,Cuneo,Italia,Giovane,23,812
Mali,M,Cuneo,Africa,Giovane adulto,34,812
Locri,M,Cuneo,Italia,Adulto,47,812
Robilante,M,Cuneo,Italia,Anziano,71,812
Cuneo,F,Cuneo,Italia,Anziano,60,812
Repubblica popolare cinese,M,Cuneo,India,Adulto,42,812
Cuneo,M,Cuneo,Italia,Giovane,24,812
Cuneo,M,Cuneo,Italia,Giovane adulto,33,812
Guinea,M,Cuneo,Sub-shara,Giovane,27,812
Cuneo,F,Cuneo,Italia,Giovane,20,812
Cuneo,M,Cuneo,Italia,Giovane,27,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,37,812
Marocco,M,Cuneo,Africa,Giovane adulto,36,812
Guinea bissau,M,Cuneo,Sub-shara,Adulto,48,812
Pakistan,M,Cuneo,India,Giovane,29,812
Centallo,M,Cuneo,Italia,Anziano,58,812
India,M,Cuneo,India,Giovane adulto,35,812
Genova,M,Cuneo,Italia,Giovane,18,812
Romania,M,Cuneo,Euro-est,Adulto,44,812
Marocco,M,Cuneo,Africa,Giovane adulto,31,812
Senegal,M,Cuneo,Sub-shara,Giovane,20,812
Senegal,F,Cuneo,Sub-shara,Giovane,24,812
Cuneo,M,Cuneo,Italia,Anziano,57,812
Cuneo,M,Cuneo,Italia,Giovane,20,812
Cuneo,F,Cuneo,Italia,Giovane,23,812
Cuneo,M,Cuneo,Italia,Anziano,63,812
Romania,M,Cuneo,Euro-est,Giovane,21,812
Cuneo,F,Cuneo,Italia,Adulto,43,812
Cuneo,M,Cuneo,Italia,Anziano,72,812
Mali,F,Cuneo,Africa,Adulto,42,812
Mali,M,Cuneo,Africa,Giovane,29,812
Romania,M,Cuneo,Euro-est,Giovane adulto,35,812
Cuneo,M,Cuneo,Italia,Giovane,20,812
Albania,M,Cuneo,Euro-est,Anziano,62,812
Cuneo,M,Cuneo,Italia,Giovane,18,812
Cuneo,F,Cuneo,Italia,Anziano,59,812
Cuneo,M,Cuneo,Italia,Anziano,61,812
Cuneo,F,Cuneo,Italia,Anziano,59,812
Gambia,M,Cuneo,Sub-shara,Giovane adulto,32,812
Cuneo,M,Cuneo,Italia,Giovane,18,812
Cuneo,M,Cuneo,Italia,Anziano,61,812
Gambia,M,Cuneo,Sub-shara,Giovane adulto,37,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,33,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,31,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,31,812
Tunisia,M,Cuneo,Africa,Giovane adulto,35,812
Marocco,M,Cuneo,Africa,Anziano,54,812
Cuneo,M,Cuneo,Italia,Giovane,24,812
Marocco,M,Cuneo,Africa,Anziano,68,812
Cuneo,M,Cuneo,Italia,Giovane,19,812
Cuneo,M,Cuneo,Italia,Giovane,19,812
Cuneo,F,Cuneo,Italia,Giovane,17,812
Costa d'avorio,M,Cuneo,Sub-shara,Adulto,47,812
Marocco,M,Cuneo,Africa,Giovane adulto,35,812
Marocco,M,Cuneo,Africa,Anziano,70,812
Romania,F,Cuneo,Euro-est,Giovane adulto,33,812
Romania,M,Cuneo,Euro-est,Giovane adulto,38,812
Sierra leone,M,Cuneo,Sub-shara,Giovane adulto,34,812
Nigeria,F,Cuneo,Sub-shara,Giovane,28,812
Marocco,M,Cuneo,Africa,Giovane,26,812
Cuneo,M,Cuneo,Italia,Giovane,19,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,35,812
Marocco,M,Cuneo,Africa,Anziano,56,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane,26,812
Ghana,M,Cuneo,Sub-shara,Giovane adulto,37,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,39,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,40,812
Nigeria,M,Cuneo,Sub-shara,Giovane,29,812
Cuneo,M,Cuneo,Italia,Giovane,18,812
Romania,M,Cuneo,Euro-est,Anziano,67,812
Nigeria,F,Cuneo,Sub-shara,Adulto,45,812
Nigeria,M,Cuneo,Sub-shara,Giovane adulto,40,812
Sri lanka,F,Cuneo,India,Giovane,28,812
Castelletto stura,M,Cuneo,Italia,Anziano,74,812
Cuneo,M,Cuneo,Italia,Giovane,18,812
Dronero,F,Cuneo,Italia,Anziano,63,812
Caraglio,M,Cuneo,Italia,Anziano,56,812
Cuneo,F,Cuneo,Italia,Anziano,60,812
Cuneo,M,Cuneo,Italia,Anziano,56,812
Filippine,M,Cuneo,India,Anziano,58,812
Cuneo,M,Cuneo,Italia,Anziano,70,812
Cuneo,F,Cuneo,Italia,Giovane,25,812
Cuneo,M,Cuneo,Italia,Giovane,22,812
Albania,F,Cuneo,Euro-est,Adulto,42,812
Cuneo,M,Cuneo,Italia,Anziano,64,812
Romania,M,Cuneo,Euro-est,Adulto,48,812
Romania,M,Cuneo,Euro-est,Adulto,48,812
Gambia,M,Cuneo,Sub-shara,Giovane adulto,31,812
Romania,M,Cuneo,Euro-est,Adulto,49,812
Cuneo,M,Cuneo,Italia,Anziano,68,812
Costa d'avorio,F,Cuneo,Sub-shara,Giovane adulto,36,812
Romania,M,Cuneo,Euro-est,Adulto,49,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane adulto,31,812
Filippine,M,Cuneo,India,Giovane,20,812
Romania,M,Cuneo,Euro-est,Adulto,49,812
Mali,M,Cuneo,Africa,Giovane,27,812
Camerun,M,Cuneo,Sub-shara,Anziano,52,812
Cuneo,M,Cuneo,Italia,Giovane adulto,39,812
India,M,Cuneo,India,Giovane adulto,37,812
Cuneo,M,Cuneo,Italia,Giovane adulto,31,812
Cuneo,F,Cuneo,Italia,Giovane adulto,33,812
Cuneo,M,Cuneo,Italia,Giovane,22,812
Cuneo,F,Cuneo,Italia,Anziano,55,812
Giuggianello,M,Cuneo,Italia,Anziano,68,812
Saluzzo,F,Cuneo,Italia,Giovane adulto,32,812
Romania,M,Cuneo,Euro-est,Giovane,29,812
Romania,M,Cuneo,Euro-est,Anziano,59,812
Cuneo,M,Cuneo,Italia,Anziano,77,812
Romania,M,Cuneo,Euro-est,Anziano,56,812
Burkina faso,M,Cuneo,Sub-shara,Adulto,46,812
Romania,F,Cuneo,Euro-est,Anziano,58,812
Cuneo,M,Cuneo,Italia,Giovane,18,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane adulto,39,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane adulto,37,812
Bangladesh,M,Cuneo,India,Giovane,20,812
Senegal,M,Cuneo,Sub-shara,Giovane adulto,33,812
Mali,F,Cuneo,Africa,Giovane,23,812
Senegal,M,Cuneo,Sub-shara,Giovane adulto,32,812
Senegal,M,Cuneo,Sub-shara,Giovane,26,812
Senegal,M,Cuneo,Sub-shara,Giovane adulto,35,812
Mali,M,Cuneo,Africa,Giovane adulto,37,812
Senegal,M,Cuneo,Sub-shara,Giovane adulto,32,812
Camerun,M,Cuneo,Sub-shara,Giovane,26,812
Senegal,M,Cuneo,Sub-shara,Giovane adulto,33,812
Mali,M,Cuneo,Africa,Adulto,48,812
Albania,M,Cuneo,Euro-est,Giovane adulto,35,812
Cuneo,M,Cuneo,Italia,Anziano,63,812
Filippine,F,Cuneo,India,Anziano,54,812
Cuneo,M,Cuneo,Italia,Giovane,23,812
Cuneo,F,Cuneo,Italia,Giovane adulto,33,812
Mali,M,Cuneo,Africa,Giovane,21,812
Costa d'avorio,F,Cuneo,Sub-shara,Giovane adulto,35,812
Guinea,M,Cuneo,Sub-shara,Giovane,27,812
Mali,M,Cuneo,Africa,Adulto,42,812
Costa d'avorio,F,Cuneo,Sub-shara,Adulto,46,812
Mali,M,Cuneo,Africa,Adulto,49,812
Guinea,M,Cuneo,Sub-shara,Giovane,27,812
Mali,M,Cuneo,Africa,Giovane,29,812
Filippine,M,Cuneo,India,Giovane,29,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane,25,812
Mali,M,Cuneo,Africa,Giovane adulto,37,812
Senegal,M,Cuneo,Sub-shara,Giovane adulto,36,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane adulto,33,812
Iglesias,F,Cuneo,Italia,Giovane adulto,40,812
Albania,M,Cuneo,Euro-est,Adulto,42,812
Cuneo,F,Cuneo,Italia,Giovane,23,812
Burkina faso,M,Cuneo,Sub-shara,Adulto,42,812
Senegal,M,Cuneo,Sub-shara,Adulto,50,812
Burkina faso,M,Cuneo,Sub-shara,Adulto,50,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane adulto,35,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane,29,812
Cuneo,F,Cuneo,Italia,Adulto,41,812
Cuneo,M,Cuneo,Italia,Anziano,75,812
Marocco,M,Cuneo,Africa,Giovane,26,812
Cuneo,M,Cuneo,Italia,Giovane adulto,37,812
Filippine,M,Cuneo,India,Anziano,52,812
Albania,F,Cuneo,Euro-est,Anziano,54,812
Albania,F,Cuneo,Euro-est,Anziano,55,812
Albania,M,Cuneo,Euro-est,Giovane adulto,38,812
Ghana,M,Cuneo,Sub-shara,Giovane,27,812
Romania,F,Cuneo,Euro-est,Adulto,44,812
Savigliano,F,Cuneo,Italia,Giovane,20,812
Cuneo,F,Cuneo,Italia,Giovane,22,812
Romania,M,Cuneo,Euro-est,Giovane,24,812
Cuneo,M,Cuneo,Italia,Giovane adulto,36,812
Cuneo,M,Cuneo,Italia,Giovane adulto,36,812
Tunisia,M,Cuneo,Africa,Giovane,24,812
Cuneo,M,Cuneo,Italia,Anziano,57,812
Senegal,M,Cuneo,Sub-shara,Giovane,30,812
Albania,M,Cuneo,Euro-est,Anziano,51,812
Cuneo,M,Cuneo,Italia,Adulto,43,812
Romania,M,Cuneo,Euro-est,Anziano,51,812
Costa d'avorio,M,Cuneo,Sub-shara,Anziano,52,812
Senegal,M,Cuneo,Sub-shara,Giovane,30,812
Cuneo,F,Cuneo,Italia,Anziano,51,812
Camerun,M,Cuneo,Sub-shara,Giovane,27,812
Cuneo,M,Cuneo,Italia,Giovane,18,812
Mali,M,Cuneo,Africa,Giovane,29,812
Pakistan,M,Cuneo,India,Giovane,27,812
Peru',F,Cuneo,Americhe,Adulto,46,812
Peru',M,Cuneo,Americhe,Giovane adulto,37,812
Romania,M,Cuneo,Euro-est,Anziano,54,812
Romania,F,Cuneo,Euro-est,Anziano,51,812
Romania,M,Cuneo,Euro-est,Anziano,63,812
Cuneo,M,Cuneo,Italia,Anziano,70,812
Romania,M,Cuneo,Euro-est,Giovane,30,812
Carignano,F,Cuneo,Italia,Anziano,54,812
Cuneo,M,Cuneo,Italia,Giovane,22,812
Romania,M,Cuneo,Euro-est,Giovane,23,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane,26,812
Cuneo,M,Cuneo,Italia,Anziano,64,812
Cuneo,M,Cuneo,Italia,Giovane adulto,33,812
Cuneo,M,Cuneo,Italia,Giovane,19,812
Nigeria,F,Cuneo,Sub-shara,Giovane adulto,35,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane,22,812
Peru',F,Cuneo,Americhe,Adulto,44,812
Mali,M,Cuneo,Africa,Adulto,47,812
Bangladesh,M,Cuneo,India,Adulto,49,812
Senegal,F,Cuneo,Sub-shara,Giovane,27,812
Mali,M,Cuneo,Africa,Giovane,29,812
Guinea,M,Cuneo,Sub-shara,Giovane adulto,34,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane,28,812
Costa d'avorio,F,Cuneo,Sub-shara,Giovane,21,812
Filippine,M,Cuneo,India,Anziano,55,812
Romania,M,Cuneo,Euro-est,Anziano,64,812
Torino,M,Cuneo,Italia,Anziano,61,812
Romania,F,Cuneo,Euro-est,Anziano,54,812
Centallo,M,Cuneo,Italia,Anziano,71,812
Centallo,M,Cuneo,Italia,Anziano,63,812
Romania,M,Cuneo,Euro-est,Anziano,63,812
Albania,M,Cuneo,Euro-est,Adulto,49,812
Cuneo,F,Cuneo,Italia,Giovane,24,812
Avellino,M,Cuneo,Italia,Anziano,67,812
Cuneo,M,Cuneo,Italia,Anziano,64,812
Cuneo,M,Cuneo,Italia,Anziano,63,812
Cuneo,M,Cuneo,Italia,Anziano,62,812
Repubblica popolare cinese,F,Cuneo,India,Adulto,48,812
Algeria,M,Cuneo,Africa,Giovane,26,812
Romania,F,Cuneo,Euro-est,Giovane adulto,32,812
Romania,F,Cuneo,Euro-est,Anziano,52,812
Argentina,M,Cuneo,Americhe,Adulto,47,812
Cuneo,M,Cuneo,Italia,Anziano,61,812
Torino,M,Cuneo,Italia,Giovane,19,812
Cuneo,M,Cuneo,Italia,Anziano,68,812
Cuneo,M,Cuneo,Italia,Anziano,78,812
Cuneo,M,Cuneo,Italia,Giovane,25,812
Lanzada,M,Cuneo,Italia,Anziano,64,812
Verzuolo,M,Cuneo,Italia,Anziano,66,812
Cuneo,M,Cuneo,Italia,Anziano,70,812
Romania,F,Cuneo,Euro-est,Anziano,56,812
Cuneo,M,Cuneo,Italia,Anziano,68,812
Cuneo,M,Cuneo,Italia,Giovane,25,812
Torino,M,Cuneo,Italia,Adulto,42,812
Cuneo,M,Cuneo,Italia,Giovane,20,812
Romania,M,Cuneo,Euro-est,Adulto,47,812
Senegal,M,Cuneo,Sub-shara,Giovane,25,812
Senegal,M,Cuneo,Sub-shara,Giovane,30,812
Senegal,M,Cuneo,Sub-shara,Adulto,46,812
Gambia,M,Cuneo,Sub-shara,Giovane,25,812
Romania,M,Cuneo,Euro-est,Anziano,71,812
Senegal,M,Cuneo,Sub-shara,Anziano,56,812
Senegal,F,Cuneo,Sub-shara,Anziano,54,812
Cuneo,M,Cuneo,Italia,Anziano,69,812
Cuneo,M,Cuneo,Italia,Giovane,18,812
Cuneo,M,Cuneo,Italia,Giovane,30,812
Pakistan,M,Cuneo,India,Giovane,18,812
Romania,M,Cuneo,Euro-est,Giovane adulto,34,812
Cuneo,M,Cuneo,Italia,Giovane,17,812
Cuneo,F,Cuneo,Italia,Giovane,24,812
Cuneo,M,Cuneo,Italia,Giovane,21,812
Camerun,M,Cuneo,Sub-shara,Giovane,26,812
Cuneo,M,Cuneo,Italia,Giovane,22,812
Cuneo,M,Cuneo,Italia,Giovane,26,812
Tunisia,M,Cuneo,Africa,Giovane,22,812
Tunisia,M,Cuneo,Africa,Giovane adulto,32,812
Bangladesh,M,Cuneo,India,Giovane,29,812
Cuneo,M,Cuneo,Italia,Giovane,18,812
Romania,M,Cuneo,Euro-est,Giovane adulto,31,812
Romania,M,Cuneo,Euro-est,Giovane adulto,36,812
Cuneo,F,Cuneo,Italia,Adulto,46,812
Cuneo,F,Cuneo,Italia,Adulto,46,812
Cuneo,M,Cuneo,Italia,Adulto,50,812
Cuneo,M,Cuneo,Italia,Giovane,27,812
Cuneo,M,Cuneo,Italia,Adulto,41,812
Cuneo,F,Cuneo,Italia,Giovane,20,812
Cuneo,M,Cuneo,Italia,Giovane,18,812
Cuneo,M,Cuneo,Italia,Anziano,56,812
Cuneo,F,Cuneo,Italia,Giovane,22,812
Ghana,M,Cuneo,Sub-shara,Giovane adulto,39,812
Cuneo,M,Cuneo,Italia,Giovane,19,812
Romania,M,Cuneo,Euro-est,Giovane,18,812
Cuneo,F,Cuneo,Italia,Giovane,21,812
Cuneo,M,Cuneo,Italia,Anziano,60,812
Cuneo,F,Cuneo,Italia,Giovane,20,812
Cuneo,M,Cuneo,Italia,Giovane,20,812
Burkina faso,M,Cuneo,Sub-shara,Adulto,48,812
Burkina faso,M,Cuneo,Sub-shara,Giovane adulto,31,812
Cuneo,M,Cuneo,Italia,Giovane,22,812
Centallo,M,Cuneo,Italia,Anziano,65,812
Cuneo,M,Cuneo,Italia,Giovane,24,812
Cuneo,F,Cuneo,Italia,Giovane,19,812
Savigliano,F,Cuneo,Italia,Anziano,51,812
India,M,Cuneo,India,Giovane adulto,37,812
Albania,F,Cuneo,Euro-est,Anziano,57,812
India,M,Cuneo,India,Adulto,50,812
Cuneo,M,Cuneo,Italia,Giovane,22,812
Cuneo,M,Cuneo,Italia,Giovane,19,812
India,M,Cuneo,India,Adulto,46,812
Albania,M,Cuneo,Euro-est,Giovane adulto,34,812
India,M,Cuneo,India,Giovane adulto,36,812
India,M,Cuneo,India,Anziano,68,812
India,M,Cuneo,India,Giovane,29,812
Bangladesh,M,Cuneo,India,Adulto,42,812
Nigeria,M,Cuneo,Sub-shara,Adulto,45,812
Albania,M,Cuneo,Euro-est,Giovane adulto,37,812
Torino,M,Cuneo,Italia,Anziano,61,812
India,M,Cuneo,India,Giovane,27,812
India,M,Cuneo,India,Anziano,55,812
Gambia,M,Cuneo,Sub-shara,Adulto,44,812
Pakistan,M,Cuneo,India,Giovane adulto,31,812
Gambia,M,Cuneo,Sub-shara,Giovane adulto,32,812
Cuneo,M,Cuneo,Italia,Adulto,48,812
Cuneo,F,Cuneo,Italia,Giovane,28,812
Fossano,M,Cuneo,Italia,Anziano,73,812
Senegal,M,Cuneo,Sub-shara,Giovane,27,812
Bangladesh,M,Cuneo,India,Giovane adulto,32,812
Costa d'avorio,M,Cuneo,Sub-shara,Giovane adulto,31,812
Cuneo,M,Cuneo,Italia,Giovane,19,812
Senegal,M,Cuneo,Sub-shara,Giovane,26,812
Savigliano,M,Cuneo,Italia,Giovane,25,812
Cuneo,M,Cuneo,Italia,Giovane,21,812
Torino,M,Cuneo,Italia,Anziano,59,812
Cuneo,M,Cuneo,Italia,Giovane,23,812
Marocco,M,Cuneo,Africa,Anziano,58,812
Marocco,M,Cuneo,Africa,Anziano,57,812
Tunisia,M,Cuneo,Africa,Adulto,48,812
Cuneo,F,Cuneo,Italia,Giovane,21,812
Guinea,M,Cuneo,Sub-shara,Giovane,28,812
Brasile,M,Cuneo,Americhe,Adulto,45,812
Costa d'avorio,M,Cuneo,Sub-shara,Adulto,42,812
Burkina faso,M,Cuneo,Sub-shara,Anziano,54,812
